BOOT_TIME_EPOCH1688710950070
BOOT_UPTIME_MILLIS 4939973
time, accel_x, accel_y, accel_z
4940084, -3.2465374, 0.9816227, 8.896853
4940094, -3.1555579, 1.0247183, 8.887277
4940104, -3.1411927, 1.0390835, 8.853758
4940114, -3.1555579, 1.0726024, 8.820239
4940124, -3.241749, 1.0726024, 8.772355
4940134, -3.3375173, 1.043872, 8.695741
4940144, -3.4620156, 0.92416185, 8.7053175
4940154, -3.5769374, 0.89064306, 8.652645
4940164, -3.5817258, 0.90021986, 8.671799
4940174, -3.596091, 0.8571242, 8.6813755
4940184, -3.6008794, 0.8475474, 8.700529
4940194, -3.5290532, 0.81881696, 8.7053175
4940204, -3.4955344, 0.81881696, 8.662222
4940214, -3.5003228, 0.90979666, 8.676587
4940223, -3.490746, 0.90979666, 8.623915
4940234, -3.5098996, 0.8523358, 8.619126
4940244, -3.4811692, 0.7038953, 8.614338
4940254, -3.5098996, 0.62728083, 8.7292595
4940264, -3.4572272, 0.5267244, 8.868123
4940273, -3.5051112, 0.4213795, 9.054871
4940284, -3.5913026, 0.320823, 9.188946
4940294, -3.7253778, 0.29688102, 9.394848
4940304, -3.787627, 0.2777274, 9.514558
4940314, -3.892972, 0.2825158, 9.409213
4940324, -3.9312792, 0.21547815, 9.3661175
4940334, -4.0222588, 0.24899697, 9.44752
4940344, -4.084508, 0.22505496, 9.375694
4940354, -4.1036615, 0.2825158, 9.3182335
4940364, -4.1659107, 0.23942018, 9.184157
4940374, -4.122815, 0.23942018, 9.069236
4940385, -4.0701427, 0.24420857, 8.920795
4940396, -4.0414124, 0.2681506, 8.743625
4940404, -4.0462008, 0.24899697, 8.695741
4940414, -4.1180267, 0.2633622, 8.66701
4940424, -4.3957543, 0.24899697, 8.714894
4940434, -4.5537715, 0.090979666, 8.829816
4940444, -5.2959743, 0.062249243, 8.944737
4940453, -4.5920787, 0.33997664, 8.99741
4940464, -4.2904096, 0.1388637, 9.11712
4940474, -4.8027687, 0.090979666, 8.844181
4940483, -4.280833, 0.07182605, 8.561666
4940494, -3.9839516, 0.14844051, 8.676587
4940504, -3.9121256, 0.23463176, 8.8777
4940514, -3.8594532, 0.23463176, 8.844181
4940524, -3.8115692, 0.2777274, 8.738836
4940533, -3.8115692, 0.35913026, 8.829816
4940543, -3.8881836, 0.4309563, 9.054871
4940553, -3.8642416, 0.34955344, 9.097966
4940563, -3.8355112, 0.21068975, 9.141062
4940574, -3.5673606, -0.1388637, 9.375694
4940583, -3.8546648, 0.320823, 9.471462
4940593, -3.7349546, 0.11971009, 9.279925
4940603, -3.7780502, 0.01436521, 9.054871
4940614, -3.7541082, 0.08140286, 8.992621
4940623, -3.6966474, 0.038307227, 9.059659
4940633, -3.763685, 0.07182605, 9.165004
4940643, -3.7924154, 0.06703765, 9.179369
4940654, -3.8546648, 0.11971009, 9.141062
4940664, -3.8594532, 0.10534488, 9.323022
4940673, -3.964798, 0.1436521, 9.5385
4940683, -4.027047, 0.11971009, 9.68694
4940693, -4.027047, 0.062249243, 9.591172
4940704, -3.9456444, 0.10534488, 9.519346
4940713, -3.7205894, 0.15801731, 9.337387
4940724, -3.53863, 0.17238252, 9.078813
4940733, -3.4811692, 0.2873042, 8.973468
4940743, -3.4763808, 0.3878607, 8.925584
4940753, -3.4715924, 0.4165911, 8.805874
4940763, -3.490746, 0.51235914, 8.710106
4940774, -3.5865142, 0.5267244, 8.6574335
4940783, -3.6152446, 0.59376204, 8.676587
4940793, -3.8594532, 0.5746084, 8.686164
4940804, -4.0318356, 0.545878, 8.748413
4940813, -4.098873, 0.56982, 8.690952
4940823, -4.1946416, 0.5746084, 8.743625
4940833, -4.19943, 0.5410896, 8.781932
4940843, -4.1276035, 0.545878, 8.815451
