BOOT_TIME_EPOCH1688710950070
BOOT_UPTIME_MILLIS 4939973
time, touch_action, touch_ID, touch_image, touch_x, touch_y, touch_max_diameter, touch_min_diameter, touch_area, touch_pressure,  block_number, trial_number, path_type, path_direction
4946808, TOUCH_START, 1, carrot, 130.0, 607.0, 4.0, 3.0, 9.42477796076938, 1.0, 1, 1, curved, leftright
4946817, TOUCH_MOVE, 1, carrot, 130.0, 607.0, 5.0, 5.0, 19.634954084936208, 1.0,1, 1, curved, leftright
4946821, TOUCH_MOVE, 1, carrot, 130.0, 607.0, 5.0, 5.0, 19.634954084936208, 1.0, 1, 1, curved, leftright
4946833, TOUCH_MOVE, 1, carrot, 130.0, 607.0, 6.0, 6.0, 28.274333882308138, 1.0,1, 1, curved, leftright
4946842, TOUCH_MOVE, 1, carrot, 130.0, 606.0, 6.0, 6.0, 28.274333882308138, 1.0,1, 1, curved, leftright
4946843, TOUCH_MOVE, 1, carrot, 130.0, 605.96985, 6.0, 6.0, 28.274333882308138, 1.0, 1, 1, curved, leftright
4946850, TOUCH_MOVE, 1, carrot, 130.0, 604.0, 6.0, 6.0, 28.274333882308138, 1.0,1, 1, curved, leftright
4946858, TOUCH_MOVE, 1, carrot, 130.0, 601.0, 6.0, 6.0, 28.274333882308138, 1.0,1, 1, curved, leftright
4946859, TOUCH_MOVE, 1, carrot, 130.0, 600.7327, 6.0, 6.0, 28.274333882308138, 1.0, 1, 1, curved, leftright
4946867, TOUCH_MOVE, 1, carrot, 131.0, 597.0, 6.0, 4.0, 18.84955592153876, 1.0,1, 1, curved, leftright
4946875, TOUCH_MOVE, 1, carrot, 133.0, 592.0, 6.0, 4.0, 18.84955592153876, 1.0,1, 1, curved, leftright
4946876, TOUCH_MOVE, 1, carrot, 133.11975, 591.7006, 6.0, 4.0, 18.84955592153876, 1.0, 1, 1, curved, leftright
4946883, TOUCH_MOVE, 1, carrot, 136.0, 587.0, 4.0, 4.0, 12.566370614359172, 1.0,1, 1, curved, leftright
4946892, TOUCH_MOVE, 1, carrot, 139.0, 583.0, 4.0, 4.0, 12.566370614359172, 1.0,1, 1, curved, leftright
4946893, TOUCH_MOVE, 1, carrot, 139.28052, 582.626, 4.0, 4.0, 12.566370614359172, 1.0, 1, 1, curved, leftright
4946900, TOUCH_MOVE, 1, carrot, 144.0, 579.0, 4.0, 4.0, 12.566370614359172, 1.0,1, 1, curved, leftright
4946909, TOUCH_MOVE, 1, carrot, 148.0, 575.0, 6.0, 4.0, 18.84955592153876, 1.0,1, 1, curved, leftright
4946909, TOUCH_MOVE, 1, carrot, 148.18741, 574.8126, 6.0, 4.0, 18.84955592153876, 1.0, 1, 1, curved, leftright
4946917, TOUCH_MOVE, 1, carrot, 153.0, 571.0, 6.0, 6.0, 28.274333882308138, 1.0,1, 1, curved, leftright
4946925, TOUCH_MOVE, 1, carrot, 157.0, 566.0, 6.0, 6.0, 28.274333882308138, 1.0,1, 1, curved, leftright
4946926, TOUCH_MOVE, 1, carrot, 157.34259, 565.5718, 6.0, 6.0, 28.274333882308138, 1.0, 1, 1, curved, leftright
4946934, TOUCH_MOVE, 1, carrot, 162.0, 560.0, 7.0, 7.0, 38.48451000647496, 1.0,1, 1, curved, leftright
4946942, TOUCH_MOVE, 1, carrot, 168.0, 554.0, 7.0, 7.0, 38.48451000647496, 1.0,1, 1, curved, leftright
4946942, TOUCH_MOVE, 1, carrot, 168.23831, 553.76166, 7.0, 7.0, 38.48451000647496, 1.0, 1, 1, curved, leftright
4946950, TOUCH_MOVE, 1, carrot, 173.0, 548.0, 6.0, 4.0, 18.84955592153876, 1.0,1, 1, curved, leftright
4946959, TOUCH_MOVE, 1, carrot, 180.0, 542.0, 6.0, 4.0, 18.84955592153876, 1.0,1, 1, curved, leftright
4946959, TOUCH_MOVE, 1, carrot, 180.35355, 541.69696, 6.0, 4.0, 18.84955592153876, 1.0, 1, 1, curved, leftright
4946967, TOUCH_MOVE, 1, carrot, 186.0, 536.0, 4.0, 4.0, 12.566370614359172, 1.0,1, 1, curved, leftright
4946975, TOUCH_MOVE, 1, carrot, 193.0, 530.0, 6.0, 4.0, 18.84955592153876, 1.0,1, 1, curved, leftright
4946976, TOUCH_MOVE, 1, carrot, 193.59956, 529.4861, 6.0, 4.0, 18.84955592153876, 1.0, 1, 1, curved, leftright
4946984, TOUCH_MOVE, 1, carrot, 200.0, 525.0, 7.0, 4.0, 21.991148575128552, 1.0,1, 1, curved, leftright
4946992, TOUCH_MOVE, 1, carrot, 206.0, 520.0, 7.0, 7.0, 38.48451000647496, 1.0,1, 1, curved, leftright
4946992, TOUCH_MOVE, 1, carrot, 206.29483, 519.75433, 7.0, 7.0, 38.48451000647496, 1.0, 1, 1, curved, leftright
4947000, TOUCH_MOVE, 1, carrot, 214.0, 515.0, 7.0, 7.0, 38.48451000647496, 1.0,1, 1, curved, leftright
4947009, TOUCH_MOVE, 1, carrot, 222.0, 510.0, 7.0, 7.0, 38.48451000647496, 1.0,1, 1, curved, leftright
4947009, TOUCH_MOVE, 1, carrot, 222.59216, 509.6299, 7.0, 7.0, 38.48451000647496, 1.0, 1, 1, curved, leftright
4947017, TOUCH_MOVE, 1, carrot, 231.0, 505.0, 7.0, 4.0, 21.991148575128552, 1.0,1, 1, curved, leftright
4947025, TOUCH_MOVE, 1, carrot, 240.0, 500.0, 7.0, 7.0, 38.48451000647496, 1.0,1, 1, curved, leftright
4947026, TOUCH_MOVE, 1, carrot, 240.54782, 499.69565, 7.0, 7.0, 38.48451000647496, 1.0, 1, 1, curved, leftright
4947034, TOUCH_MOVE, 1, carrot, 249.0, 495.0, 7.0, 7.0, 38.48451000647496, 1.0,1, 1, curved, leftright
4947042, TOUCH_MOVE, 1, carrot, 259.0, 490.0, 7.0, 4.0, 21.991148575128552, 1.0,1, 1, curved, leftright
4947042, TOUCH_MOVE, 1, carrot, 259.62482, 489.6876, 7.0, 4.0, 21.991148575128552, 1.0, 1, 1, curved, leftright
4947051, TOUCH_MOVE, 1, carrot, 268.0, 485.0, 7.0, 4.0, 21.991148575128552, 1.0,1, 1, curved, leftright
4947058, TOUCH_MOVE, 1, carrot, 279.0, 481.0, 4.0, 4.0, 12.566370614359172, 1.0,1, 1, curved, leftright
4947059, TOUCH_MOVE, 1, carrot, 279.7237, 480.73685, 4.0, 4.0, 12.566370614359172, 1.0, 1, 1, curved, leftright
4947067, TOUCH_MOVE, 1, carrot, 289.0, 476.0, 6.0, 4.0, 18.84955592153876, 1.0,1, 1, curved, leftright
4947075, TOUCH_MOVE, 1, carrot, 299.0, 471.0, 7.0, 4.0, 21.991148575128552, 1.0,1, 1, curved, leftright
4947076, TOUCH_MOVE, 1, carrot, 299.5376, 470.7312, 7.0, 4.0, 21.991148575128552, 1.0, 1, 1, curved, leftright
4947084, TOUCH_MOVE, 1, carrot, 309.0, 467.0, 7.0, 7.0, 38.48451000647496, 1.0,1, 1, curved, leftright
4947092, TOUCH_MOVE, 1, carrot, 319.0, 462.0, 6.0, 6.0, 28.274333882308138, 1.0,1, 1, curved, leftright
